Last Updated,Preferred Lender,Lender,Product Type,Product Security,Product Name,Min Loan,Max Loan,Min Term,Max Term,Monthly Interest From,Monthly Interest To,Factor Rate,Fees,Commission,Min Trading Months,Min Monthly Turnover,Debt Consolidation Option?,StartUp Option?,Existing Lending Required,PG Required,Homeowner Required,Other Security,Key Underwriting Criteria,Adverse Credit,Product USP,Submission
,No,Time Finance,Asset Finance,Unsecured,,"£100,000",,36,60,9.50%,9.50%,,,,,,,,No,,No,Asset security,"Hard asset finance; standard terms 36-60 months; 72 and 84 months considered on certain asset classes by BDM; terms under 36 months considered by BDM; business trading under 2 years, refinance, Cat B assets, GGS deals, seasonal or structured profiles and non-rated suppliers to be referred to BDM; directors and shareholders details required, including name, address, DOB and consent to search; asset details required, including age, mileage or usage and supplier; last 3 months bank statements required over £50k; latest filed accounts and MI required if available; proposal must explain the story and rationale; policy exemptions include super cars, marine and aviation; tenant, new start and non-UK director combined will not be considered",,"Flexible hard asset funder; supports HP, sale and HP back, finance lease, refinance, GGS, seasonal and structured profiles and balloons; flexible repayment profiles available, including seasonal payments, low start, deposit spreads, VAT deferrals and VAT spreads; refinance considered up to 120% LTV by referral; decisions usually within 4 hours on flow transactions; non-flow decisions usually within 48 hours; same day payouts available where completed pack received before 11am",vajinder.bal@timefinance.com
,No,Time Finance,Asset Finance,Unsecured,,"£1,000","£9,999",36,60,19.00%,19.00%,,,Up to 15%,24,,,,No,Yes,No,Asset security,"Non-reg only; established business rate; suitable assets include office and shop fit-outs, garage equipment, gym equipment, beauty equipment, catering equipment, IT hardware and print; dislikes include scaffolding, third party advertising screens, software only, soft play and trampoline parks, mezzanine floors and EV chargers; name, home address and DOB required for all directors with permission to search; contact email and phone number required; business address and location of goods required; AML checks completed on PSCs of 25% or more; under £20k homeowner profiles underwritten on proposal and search only",,"Soft asset finance available from £1k; products include minimum term rental, fixed term rental, sales and lease or HP back and hire purchase; fast track available up to £20k asset cost for homeowner clean profiles; director guarantee required as standard from all directors",vajinder.bal@timefinance.com
,No,Time Finance,Asset Finance,Unsecured,,"£10,000","£19,999",36,60,17.00%,17.00%,,,Up to 15%,24,,,,No,Yes,No,Asset security,"Non-reg only; established business rate; suitable assets include office and shop fit-outs, garage equipment, gym equipment, beauty equipment, catering equipment, IT hardware and print; dislikes include scaffolding, third party advertising screens, software only, soft play and trampoline parks, mezzanine floors and EV chargers; name, home address and DOB required for all directors with permission to search; contact email and phone number required; business address and location of goods required; AML checks completed on PSCs of 25% or more; under £20k homeowner profiles underwritten on proposal and search only",,"Soft asset finance available from £1k; products include minimum term rental, fixed term rental, sales and lease or HP back and hire purchase; fast track available up to £20k asset cost for homeowner clean profiles; director guarantee required as standard from all directors",vajinder.bal@timefinance.com
,No,Time Finance,Asset Finance,Unsecured,,"£20,000","£50,000",36,60,14.00%,14.00%,,,Up to 15%,24,,,,No,Yes,No,Asset security,"Non-reg only; £20k-£50k considered by exception; over £20k and tenant profiles require last 3 months trading bank statements; over £20k also requires latest filed accounts; suitable assets include office and shop fit-outs, garage equipment, gym equipment, beauty equipment, catering equipment, IT hardware and print; dislikes include scaffolding, third party advertising screens, software only, soft play and trampoline parks, mezzanine floors and EV chargers; AML checks completed on PSCs of 25% or more",,"Soft asset finance by exception up to £50k; products include minimum term rental, fixed term rental, sales and lease or HP back and hire purchase; director guarantee required as standard from all directors; asset security required",vajinder.bal@timefinance.com
,No,Time Finance,Asset Finance,Unsecured,,"£1,000","£9,999",36,60,21.00%,21.00%,,,Up to 15%,3,,,,No,Yes,Yes,Asset security,"Non-reg only; new start businesses trading under 2 years limited to £15k maximum lend; must be homeowner; must have opened business bank account and show evidence of 3 months rentals in the bank; name, home address and DOB required for all directors with permission to search; contact email and phone number required; business address and location of goods required; AML checks completed on PSCs of 25% or more; suitable assets include office and shop fit-outs, garage equipment, gym equipment, beauty equipment, catering equipment, IT hardware and print",,"New start soft asset finance available where homeowner criteria met; products include minimum term rental, fixed term rental, sales and lease or HP back and hire purchase; director guarantee required as standard from all directors; asset security required",vajinder.bal@timefinance.com
,No,Time Finance,Asset Finance ,Unsecured,,"£7,500","£14,999",36,60,14.00%,14.00%,,,,,,,,No,,No,Asset security,"Hard asset finance; standard terms 36-60 months; 72 and 84 months considered on certain asset classes by BDM; terms under 36 months considered by BDM; business trading under 2 years, refinance, Cat B assets, GGS deals, seasonal or structured profiles and non-rated suppliers to be referred to BDM; directors and shareholders details required, including name, address, DOB and consent to search; asset details required, including age, mileage or usage and supplier; last 3 months bank statements required over £50k; latest filed accounts and MI required if available; proposal must explain the story and rationale; policy exemptions include super cars, marine and aviation; tenant, new start and non-UK director combined will not be considered",,"Flexible hard asset funder; supports HP, sale and HP back, finance lease, refinance, GGS, seasonal and structured profiles and balloons; flexible repayment profiles available, including seasonal payments, low start, deposit spreads, VAT deferrals and VAT spreads; refinance considered up to 120% LTV by referral; decisions usually within 4 hours on flow transactions; non-flow decisions usually within 48 hours; same day payouts available where completed pack received before 11am",vajinder.bal@timefinance.com
,No,Time Finance,Asset Finance ,Unsecured,,"£15,000","£24,999",36,60,12.00%,12.00%,,,,,,,,No,,No,Asset security,"Hard asset finance; standard terms 36-60 months; 72 and 84 months considered on certain asset classes by BDM; terms under 36 months considered by BDM; business trading under 2 years, refinance, Cat B assets, GGS deals, seasonal or structured profiles and non-rated suppliers to be referred to BDM; directors and shareholders details required, including name, address, DOB and consent to search; asset details required, including age, mileage or usage and supplier; last 3 months bank statements required over £50k; latest filed accounts and MI required if available; proposal must explain the story and rationale; policy exemptions include super cars, marine and aviation; tenant, new start and non-UK director combined will not be considered",,"Flexible hard asset funder; supports HP, sale and HP back, finance lease, refinance, GGS, seasonal and structured profiles and balloons; flexible repayment profiles available, including seasonal payments, low start, deposit spreads, VAT deferrals and VAT spreads; refinance considered up to 120% LTV by referral; decisions usually within 4 hours on flow transactions; non-flow decisions usually within 48 hours; same day payouts available where completed pack received before 11am",vajinder.bal@timefinance.com
,No,Time Finance,Asset Finance ,Unsecured,,"£25,000","£99,999",36,60,11.00%,11.00%,,,,,,,,No,,No,Asset security,"Hard asset finance; standard terms 36-60 months; 72 and 84 months considered on certain asset classes by BDM; terms under 36 months considered by BDM; business trading under 2 years, refinance, Cat B assets, GGS deals, seasonal or structured profiles and non-rated suppliers to be referred to BDM; directors and shareholders details required, including name, address, DOB and consent to search; asset details required, including age, mileage or usage and supplier; last 3 months bank statements required over £50k; latest filed accounts and MI required if available; proposal must explain the story and rationale; policy exemptions include super cars, marine and aviation; tenant, new start and non-UK director combined will not be considered",,"Flexible hard asset funder; supports HP, sale and HP back, finance lease, refinance, GGS, seasonal and structured profiles and balloons; flexible repayment profiles available, including seasonal payments, low start, deposit spreads, VAT deferrals and VAT spreads; refinance considered up to 120% LTV by referral; decisions usually within 4 hours on flow transactions; non-flow decisions usually within 48 hours; same day payouts available where completed pack received before 11am",vajinder.bal@timefinance.com
,No,Time Finance,Term Loan,Unsecured,,"£10,000","£15,000",36,60,19.00%,19.00%,,,Up to 15%,3,,,,No,Yes,Yes,Asset security,"Non-reg only; new start businesses trading under 2 years limited to £15k maximum lend; must be homeowner; must have opened business bank account and show evidence of 3 months rentals in the bank; name, home address and DOB required for all directors with permission to search; contact email and phone number required; business address and location of goods required; AML checks completed on PSCs of 25% or more; suitable assets include office and shop fit-outs, garage equipment, gym equipment, beauty equipment, catering equipment, IT hardware and print",,"New start soft asset finance available where homeowner criteria met; products include minimum term rental, fixed term rental, sales and lease or HP back and hire purchase; director guarantee required as standard from all directors; asset security required",vajinder.bal@timefinance.com
,No,TP24,Revolving Credit Facility,Secured,,"£250,000","£499,999",0,0,0.73%,0.73%,,3% facility fee per annum; 3% to 3.5%  application fee per commission sheet,,36,"£83,334",,,No,Not stated,No,Fixed first charge over trade receivables; unperfected assignment over bank accounts,"Receivables-backed revolving credit line; interest rate 8,75% per annum; company age 3+ years; turnover at least £1m in past 12 months; debtor book £300k+ across current, period 1 and 2; Limited, LLP or PLC only; minimum 3 FTE employees; majority shareholder must be UK domiciled; minimum 5 debtors; debtor concentration max 40%, or 50% for blue-chip; no self billing or applications for payment; debtor balances below £750 excluded; construction, car sales and mining excluded",solvent balance sheet; Delphi score above 26,Confidential working capital facility backed by trade receivables; no need to submit invoices; no monthly reconciliation; no lock-in agreements; no trust account; credit line can grow with receivables; draw less and pay less,partners@tradeplus24.co.uk
,No,TP24,Revolving Credit Facility,Secured,,"£500,000","£999,999",0,0,0.69%,0.69%,,2.5% facility fee per annum; 1.5% to 2.5%  application fee per commission sheet,,36,"£83,334",,,No,Not stated,No,Fixed first charge over trade receivables; unperfected assignment over bank accounts,"Receivables-backed revolving credit line; interest rate 8,25% per annum; company age 3+ years; turnover at least £1m in past 12 months; debtor book £300k+ across current, period 1 and 2; Limited, LLP or PLC only; minimum 3 FTE employees; majority shareholder must be UK domiciled; minimum 5 debtors; debtor concentration max 40%, or 50% for blue-chip; no self billing or applications for payment; debtor balances below £750 excluded; construction, car sales and mining excluded",solvent balance sheet; Delphi score above 26,Confidential working capital facility backed by trade receivables; no need to submit invoices; no monthly reconciliation; no lock-in agreements; no trust account; credit line can grow with receivables; draw less and pay less,partners@tradeplus24.co.uk
,No,TP24,Revolving Credit Facility,Secured,,"£1,000,000","£1,500,000",0,0,0.65%,0.65%,,2% facility fee per annum; £15k application fee,,36,"£83,334",,,No,Not stated,No,Fixed first charge over trade receivables; unperfected assignment over bank accounts,"Receivables-backed revolving credit line; interest rate 7,75% per annum; company age 3+ years; turnover at least £1m in past 12 months; debtor book £300k+ across current, period 1 and 2; Limited, LLP or PLC only; minimum 3 FTE employees; majority shareholder must be UK domiciled; minimum 5 debtors; debtor concentration max 40%, or 50% for blue-chip; no self billing or applications for payment; debtor balances below £750 excluded; construction, car sales and mining excluded",solvent balance sheet; Delphi score above 26,Confidential working capital facility backed by trade receivables; no need to submit invoices; no monthly reconciliation; no lock-in agreements; no trust account; credit line can grow with receivables; draw less and pay less,partners@tradeplus24.co.uk
,No,TP24,Revolving Credit Facility,Secured,,"£1,500,001","£2,000,000",0,0,0.60%,0.60%,,1.5% facility fee per annum; £15k application fee,,36,"£83,334",,,No,Not stated,No,Fixed first charge over trade receivables; unperfected assignment over bank accounts,"Receivables-backed revolving credit line; interest rate 7,25% per annum; company age 3+ years; turnover at least £1m in past 12 months; debtor book £300k+ across current, period 1 and 2; Limited, LLP or PLC only; minimum 3 FTE employees; majority shareholder must be UK domiciled; minimum 5 debtors; debtor concentration max 40%, or 50% for blue-chip; no self billing or applications for payment; debtor balances below £750 excluded; construction, car sales and mining excluded",solvent balance sheet; Delphi score above 26,Confidential working capital facility backed by trade receivables; no need to submit invoices; no monthly reconciliation; no lock-in agreements; no trust account; credit line can grow with receivables; draw less and pay less,partners@tradeplus24.co.uk
,No,TP24,Revolving Credit Facility,Secured,,"£2,000,001","£3,000,000",0,0,0.56%,0.56%,,1.25% facility fee per annum; £15k application fee,,36,"£83,334",,,No,Not stated,No,Fixed first charge over trade receivables; unperfected assignment over bank accounts,"Receivables-backed revolving credit line; interest rate 6,75% per annum; company age 3+ years; turnover at least £1m in past 12 months; debtor book £300k+ across current, period 1 and 2; Limited, LLP or PLC only; minimum 3 FTE employees; majority shareholder must be UK domiciled; minimum 5 debtors; debtor concentration max 40%, or 50% for blue-chip; no self billing or applications for payment; debtor balances below £750 excluded; construction, car sales and mining excluded",solvent balance sheet; Delphi score above 26,Confidential working capital facility backed by trade receivables; no need to submit invoices; no monthly reconciliation; no lock-in agreements; no trust account; credit line can grow with receivables; draw less and pay less,partners@tradeplus24.co.uk
,No,TP24,Revolving Credit Facility,Secured,,"£3,000,001","£5,000,000",0,0,0.52%,0.52%,,1% facility fee per annum; £20k application fee,,36,"£83,334",,,No,Not stated,No,Fixed first charge over trade receivables; unperfected assignment over bank accounts,"Receivables-backed revolving credit line; interest rate 6,25% per annum; company age 3+ years; turnover at least £1m in past 12 months; debtor book £300k+ across current, period 1 and 2; Limited, LLP or PLC only; minimum 3 FTE employees; majority shareholder must be UK domiciled; minimum 5 debtors; debtor concentration max 40%, or 50% for blue-chip; no self billing or applications for payment; debtor balances below £750 excluded; construction, car sales and mining excluded",solvent balance sheet; Delphi score above 26,Confidential working capital facility backed by trade receivables; no need to submit invoices; no monthly reconciliation; no lock-in agreements; no trust account; credit line can grow with receivables; draw less and pay less,partners@tradeplus24.co.uk
,Yes,Triver,Invoice Finance,Unsecured,,"£10,000","£700,000",0,60,TBC,TBC,,0.06% daily discount fee with no other fees; no setup fee,,24,"£8,333",,,No,No,No,,B2B invoices to UK businesses or public sector entities only; no outstanding receivables charge with negative pledge,,Up to 99% invoice advance; open-ended facility with no expiry; Open Banking only; no trust account required,https://pulse.triver.com/_hcms/mem/login?hsLang=en
,Yes,Ultimate Finance,Bridging,Secured,,"£100,000","£750,000",1,18,0.84%,0.84%,,2% arr fee,,0,£0,,,No,Not stated,Not stated,Residential property security,Optimise; standard up to 70% gross LTV; max loan outside Greater London is £500k; AVM confidence score drives LTV; Perfect Title insurance can be used; dual representation available up to £500k,,Streamlined online application and underwriting; instant valuation route available; decision expected within 24 hours where information is complete,kay.williams@ultimatefinance.co.uk
,Yes,Ultimate Finance,Bridging,Secured,,"£100,000","£750,000",1,18,0.89%,0.89%,,2% arr fee,,0,£0,,,No,Not stated,Not stated,Residential property security,Optimise higher LTV route; available over 70% up to 75% gross LTV; max loan outside Greater London is £500k; desktop valuation required where gross LTV exceeds 70%; desktop valuations not available in Scotland; Perfect Title insurance can be used,,Higher LTV Optimise option; desktop valuation route can avoid full valuation delays where suitable; dual representation available up to £500k,kay.williams@ultimatefinance.co.uk
,Yes,Ultimate Finance,Bridging,Secured,,"£100,000","£750,000",1,18,0.99%,0.99%,,,,0,£0,,,No,Not stated,Not stated,Residential property security,"Optimise borrower-funded refurbishment; borrower must evidence full funding for works plus 10% contingency; acceptable works include cosmetic upgrades, plastering, flooring, landscaping, kitchens, bathrooms, rewiring and heating; larger structural or regulated works should use refurbishment products",,Fast bridging option where the borrower is funding the works themselves; suitable for habitable residential property with light refurbishment works,kay.williams@ultimatefinance.co.uk
,Yes,Ultimate Finance,Bridging,Secured,,"£100,000","£750,000",1,18,1.04%,1.04%,,,,0,£0,,,No,Not stated,Not stated,Residential property security,"Optimise BMV route; up to 90% loan-to-purchase-price; legitimate BMV rationale required, such as option agreement, probate, auction or fire sale; property must not have been marketed for more than 3 months; AVM confidence score over 6 required unless desktop valuation route applies",,Fast bridging option for suitable below market value purchases; can support high loan-to-purchase-price transactions where rationale and valuation support it,kay.williams@ultimatefinance.co.uk
,Yes,Ultimate Finance,Bridging,Secured,,"£100,000","£4,000,000",1,18,0.79%,0.84%,,2% arr fee,,0,£0,,,No,Yes,Not stated,First registered legal charge on residential assets,Purchase Bridge standard purchase route; interest can be serviced; part-serviced or fully retained; early repayment fee of 2% of total outstanding applies only during first 3 months; valuation must be addressed to Ultimate Finance and dated within 3 months,adverse credit considered with clear explanation,Decision in principle within 24 hours; fully credit-backed offer within 72 hours; UK and non-UK residents considered via UK limited business or SPV,kay.williams@ultimatefinance.co.uk
,Yes,Ultimate Finance,Bridging,Secured,,"£100,000","£4,000,000",1,18,0.94%,1.14%,,,,0,£0,,,No,Yes,Not stated,First registered legal charge on residential assets,Purchase Bridge BMV or title split route; unlimited PG required; up to 100% of purchase price considered where there is clear rationale for discounted purchase price or value uplift; early repayment fee of 2% of total outstanding applies only during first 3 months,,Suitable for below market value or title split transactions; useful where purchase price support and value uplift rationale are clear,kay.williams@ultimatefinance.co.uk
,Yes,Uncapped,Term Loan,Unsecured,,"£100,000","£5,000,000",6,18,0.70%,1.50%,,,,6,"£100,000",,,No,No,No,"No PG, no dilution, no warrants, no collateral required","Working capital for online brands, sellers, retailers and e-commerce businesses; Limited Companies only, sole traders not eligible; fixed term loans or lines of credit available; top-ups available 30% to 50% into term, typically 3 to 4 times per year; secured and unsecured options available; Amazon sellers may be considered from lower monthly revenue",,"Offers targeted within 24 hours; fixed fee pricing, typically around 1% per month; no personal guarantees, warrants, hidden fees or equity dilution; suitable for inventory, marketing, purchase orders, hiring, expansion and growth working capital",Partner portal / referral agreement via HelloSign
,Yes,Wayflyer,Term Loan,Unsecured,,"£20,000","£1,000,000",3,12,1.50%,2.50%,,,,24,"£25,000",,,No,No,No,Just open banking connection ,,,Term Loan,https://authn.wayflyer.com/u/login?state=hKFo2SBra3MxN05sV3phQXlOVzIwS0J1TUhxdGtKZHBnVjdpaqFur3VuaXZlcnNhbC1sb2dpbqN0aWTZIGc4RGRSR3YzXzlaOEhoRm9LZmdDd0RaMXJJNFM1ZjRmo2NpZNkgZjdmZjNFd0FKeldNOHp0ZFBHN0o1YmpuTTlDMmpleWg
,No,YouLend,Merchant Cash Advance,Unsecured,,"£5,000","£99,999",,,,,,,,3,"£5,000",,,No,No,Yes,,"Must have card sales, online or terminal, of £5,000+ per month; minimum 3 months card sales; funding up to 2x average monthly card sales; limited companies, sole traders and partnerships considered; almost all non-cash, non-invoice recurring payments considered; Open Banking preferred, otherwise 4-12 months PDF bank statements; website or Google listing used to validate proof of trade; strongest sectors include hospitality, retail, e-commerce, health, beauty, hair care and MOT centres",,"Repayments flex in line with sales; no fixed monthly repayment; no monthly interest, fixed fee typically 1.10x to 1.35x funded amount; no homeowner requirement; no security required; offers usually returned within 24 hours on correct submissions; funding can be available quickly once approved; same day top-ups available from 60% repaid ",YouLend Portal
,No,YouLend,Merchant Cash Advance,Unsecured,,"£100,000","£2,000,000",,,,,,,,3,"£5,000",,,No,No,Yes,,"Must have card sales, online or terminal, of £5,000+ per month; minimum 3 months card sales; funding up to 2x average monthly card sales; limited companies, sole traders and partnerships considered; management accounts required for £100k+ funding, including draft balance sheet and profit and loss dated within last 3 months; Open Banking preferred, otherwise 4-12 months PDF bank statements; website or Google listing used to validate proof of trade; strongest sectors include hospitality, retail, e-commerce, health, beauty, hair care and MOT centres",,"Larger facilities available up to £2m; repayments flex in line with sales; no fixed monthly repayment; no monthly interest, fixed fee typically 1.10x to 1.35x funded amount; no homeowner requirement; no security required; offers usually returned within 24 hours on correct submissions; funding can be available quickly once approved; same day top-ups available from 60% repaid",YouLend Portal
